order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
e481f51cbdc54678b7cc49136f2d6af7,1,87285b34884572647811a353c7ac498a,3504c0cb71d7fa48d967e0e4c94d59d9,06-10-17 11:07,29.99,8.72
a60241fca336b3f14485dff30a172cab,1,883cea107372a7f07b5830904f74952d,1c40343cc5d18c2d8248ac2f3366de34,31-07-18 22:24,64.99,23.26
cef3c3045c93eee043b5f3df78466d5b,1,fdf9ec5852bb18d630e683e3c796972d,d921b68bf747894be13a97ae52b0f386,12-06-18 15:15,132.0,19.89
aab7b04f45546e03e7c86b9e8f12368e,1,fa05881d3eb7ffec2322b507ed3ccc6b,87142160b41353c4e5fca2360caf6f92,01-03-18 2:55,19.9,31.02
f64dd636875aef9058782fc05a867ec1,1,fa39c60599eb6573020f07a1b4dd38cf,0bae85eb84b9fb3bd773911e89288d54,31-10-17 20:14,86.36,29.0
e5dad7f6c0e2ddd8daee42d61d7063fb,2,bb32b03270ad3f5a8aa9474d354119ab,a420f60ff1aa9acc80d0e42959f2b313,17-04-18 22:09,28.0,16.73
d7265f36cbd2814e8be76a4fca48a1d8,1,cb035acb0af5f79c8ebad476b968574a,70a12e78e608ac31179aea7f8422044b,24-05-17 13:05,79.0,16.31
e3447938231fb6ba2fee0231b51eca59,1,97f1396a5a1f7c07ba51784efdec44b8,955fee9216a65b617aa5c0531780ce60,28-08-18 11:15,160.0,12.14
6ea2f835b4556291ffdc53fa0b3b95e8,1,be021417a6acb56b9b50d3fd2714baa8,f5f46307a4d15880ca14fab4ad9dfc9b,30-11-17 0:21,339.0,17.12
bd1c5f97d14241d464813493f158ffe6,1,bd144d5290d032a564563d75e98be4e8,e9779976487b77c6d4ac45f75ec7afe9,05-07-18 7:30,33.9,19.43
2f246ee329fce6932458bc7a10625d2a,1,060109450b2f49e4d5c4fdfd3d8ebc34,f8db351d8c4c4c22c6835c19a46f01b0,01-06-17 18:45,24.9,16.79
c1559efbfbb38d83f6280b505bd3e0df,1,e25331bf25687974d6fc419b3bd576dd,f52c2422904463fdd7741f99045fecb6,17-07-18 18:50,27.9,8.36
7c3e6d9d783f5fb5927a500abf1cfbaf,1,91d48f051858be85a524d623648cdf0d,a673821011d0cec28146ea42f5ab767f,28-08-18 1:30,49.9,11.37
db37a79f21c59753d1ba93cc44d6cc4a,1,1f0fa82e30437fd4a2596a4ad75d8ee0,2a84855fd20af891be03bc5924d2b453,11-05-18 10:56,18.9,15.23
5739eb8dc1389c46e5ff8fc605a6ba44,1,5bf681c3d83a332fbb49765e3e572145,537eb890efff034a88679788b647c564,23-05-18 21:15,20.9,7.55
82bce245b1c9148f8d19a55b9ff70644,1,a5a0e71a81ae65aa335e71c06261e260,c8417879a15366a17c30af34c798c332,27-04-17 5:15,38.0,15.56
f3381b1e6c37c70f2b3c9d211b166412,1,16ed6a6e3fce23b741650437fe58d65b,e5a38146df062edaf55c38afa99e42dc,02-05-18 4:11,89.18,19.59
0b4aab4ef70208498663141571f68116,1,2d9b49aa7510c59fca0cca0e1dc0e0ca,dc4a0fc896dc34b0d5bfec8438291c80,19-03-18 11:25,85.9,23.18
6e341e7f154e744143c5fc3e937bfda4,1,3d4609bbecb3db49babe621f46b1b8fb,fd386aa7bed2af3c7035c65506c9b4a3,21-08-18 16:25,16.99,22.06
af5b0604e113e1526593d505a26ef39d,1,978859c6048ded0fa8bf3b9ea8236387,813348c996469b40f2e028d5429d3495,04-10-17 12:26,19.9,8.72
01a75ac3dd000b7628a684be97c29234,1,b5c114b11d53b6fd85a6a90790f0b479,0adac9fbd9a2b63cccaac4f8756c1ca8,29-01-18 10:59,42.9,15.1
588493b85f6219865d7ac7193880c0a0,1,26d7caa7e5b0fd27401cea553f5fce36,822166ed1e47908f7cfb49946d03c726,02-07-18 13:30,32.79,18.33
4b87488fb6269f8321508923b95da4d6,1,ed739dfa91e2c770354726fe0bf9cc72,57df9869a600bd6b7c405f2a862eccfb,15-06-18 12:30,25.0,13.47
d6d19a688e4325d068ef11d205a4c92f,1,4338d9da0d2fabd85d1f0adb30b2789d,6ec1a01e866584bb679eb9b098345919,15-09-17 13:50,35.99,8.27
